Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.6667,0.6667,1.0,0.8,0.7639
NoScaler,10.0,l2,0.6754,0.6893,0.9342,0.7933,0.7587
StandardScaler,10.0,l2,0.6667,0.6863,0.9211,0.7865,0.7528
StandardScaler,1.0,l2,0.6667,0.6827,0.9342,0.7889,0.7521
MinMaxScaler,10.0,l2,0.6491,0.6667,0.9474,0.7826,0.7517
RobustScaler,10.0,l2,0.6667,0.6863,0.9211,0.7865,0.7517
RobustScaler,0.01,l2,0.6667,0.6667,1.0,0.8,0.75
StandardScaler,0.1,l2,0.6491,0.6667,0.9474,0.7826,0.75
RobustScaler,0.1,l2,0.6667,0.6792,0.9474,0.7912,0.7483
RobustScaler,1.0,l2,0.6667,0.6863,0.9211,0.7865,0.7472
NoScaler,0.1,l2,0.6667,0.6827,0.9342,0.7889,0.7469
NoScaler,1.0,l2,0.6667,0.6863,0.9211,0.7865,0.7452
MinMaxScaler,1.0,l2,0.6754,0.6757,0.9868,0.8021,0.7448
NoScaler,0.01,l2,0.6404,0.6667,0.9211,0.7735,0.7434
MinMaxScaler,0.1,l2,0.6667,0.6667,1.0,0.8,0.7154
MinMaxScaler,0.01,l2,0.6667,0.6667,1.0,0.8,0.6963
Normalizer,10.0,l2,0.6667,0.6667,1.0,0.8,0.66
Normalizer,1.0,l2,0.6667,0.6667,1.0,0.8,0.6247
Normalizer,0.1,l2,0.6667,0.6667,1.0,0.8,0.597
Normalizer,0.01,l2,0.6667,0.6667,1.0,0.8,0.588
