Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,0.01,l2,0.6404,0.898,0.55,0.6822,0.7265
StandardScaler,1.0,l2,0.614,0.86,0.5375,0.6615,0.7257
StandardScaler,10.0,l2,0.614,0.86,0.5375,0.6615,0.7246
NoScaler,1.0,l2,0.6228,0.8627,0.55,0.6718,0.7228
RobustScaler,0.1,l2,0.614,0.875,0.525,0.6562,0.7221
StandardScaler,0.1,l2,0.6316,0.8519,0.575,0.6866,0.7221
RobustScaler,10.0,l2,0.6228,0.8776,0.5375,0.6667,0.7217
RobustScaler,1.0,l2,0.6228,0.8627,0.55,0.6718,0.7213
NoScaler,10.0,l2,0.6228,0.8627,0.55,0.6718,0.7213
NoScaler,0.1,l2,0.6228,0.8627,0.55,0.6718,0.721
RobustScaler,0.01,l2,0.6053,0.907,0.4875,0.6341,0.7202
MinMaxScaler,10.0,l2,0.6228,0.8491,0.5625,0.6767,0.7195
StandardScaler,0.01,l2,0.6053,0.8571,0.525,0.6512,0.7125
MinMaxScaler,1.0,l2,0.5965,0.8036,0.5625,0.6618,0.7048
MinMaxScaler,0.1,l2,0.6228,0.7937,0.625,0.6993,0.671
Normalizer,10.0,l2,0.5088,0.7727,0.425,0.5484,0.6574
MinMaxScaler,0.01,l2,0.6053,0.7397,0.675,0.7059,0.6467
Normalizer,1.0,l2,0.5088,0.7727,0.425,0.5484,0.6092
Normalizer,0.1,l2,0.4737,0.7632,0.3625,0.4915,0.5956
Normalizer,0.01,l2,0.4649,0.7568,0.35,0.4786,0.5912
