Scaler,C,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,1.0,0.6712,0.7481,0.515,0.6089,0.7429
RobustScaler,0.1,0.6712,0.7461,0.5174,0.6099,0.7425
StandardScaler,10.0,0.6774,0.7449,0.5372,0.6234,0.7417
RobustScaler,1.0,0.6762,0.7441,0.5347,0.6215,0.7416
RobustScaler,10.0,0.6774,0.7449,0.5372,0.6234,0.7416
NoScaler,0.01,0.6774,0.7449,0.5372,0.6234,0.7415
NoScaler,0.1,0.6774,0.7449,0.5372,0.6234,0.7414
NoScaler,1.0,0.6774,0.7449,0.5372,0.6234,0.7414
NoScaler,10.0,0.6774,0.7449,0.5372,0.6234,0.7414
RobustScaler,0.01,0.6725,0.7697,0.4903,0.5968,0.7374
StandardScaler,0.1,0.6725,0.7664,0.4953,0.5991,0.7368
MinMaxScaler,10.0,0.6725,0.7669,0.4953,0.5991,0.7325
StandardScaler,0.01,0.6688,0.7863,0.4632,0.5813,0.7291
MinMaxScaler,1.0,0.6565,0.7728,0.4436,0.5611,0.7234
MinMaxScaler,0.01,0.6209,0.7292,0.5452,0.5634,0.7205
MinMaxScaler,0.1,0.6417,0.7517,0.424,0.5387,0.7205
Normalizer,0.01,0.6712,0.7721,0.4854,0.594,0.7148
Normalizer,0.1,0.6712,0.7606,0.4978,0.6003,0.6982
Normalizer,1.0,0.6565,0.7321,0.4904,0.5862,0.6937
Normalizer,10.0,0.6552,0.731,0.4879,0.5841,0.693
