Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
StandardScaler,SGD_SqHinge,0.5965,0.925,0.4625,0.6167,0.7761,37,31,3,43
StandardScaler,SGD_Hinge,0.6053,0.9268,0.475,0.6281,0.7471,38,31,3,42
RobustScaler,SGD_Hinge,0.5877,0.9231,0.45,0.605,0.7276,36,31,3,44
StandardScaler,LinearSVC,0.6053,0.8571,0.525,0.6512,0.725,42,27,7,38
RobustScaler,LinearSVC,0.6053,0.8571,0.525,0.6512,0.7232,42,27,7,38
MinMaxScaler,SGD_Hinge,0.6316,0.8519,0.575,0.6866,0.7224,46,26,8,34
NoScaler,SGD_Hinge,0.5526,0.8718,0.425,0.5714,0.7184,34,29,5,46
NoScaler,SGD_SqHinge,0.5702,0.9189,0.425,0.5812,0.7176,34,31,3,46
MinMaxScaler,LinearSVC,0.614,0.8462,0.55,0.6667,0.7151,44,26,8,36
RobustScaler,SGD_SqHinge,0.5965,0.925,0.4625,0.6167,0.7129,37,31,3,43
MinMaxScaler,SGD_SqHinge,0.5702,0.8444,0.475,0.608,0.696,38,27,7,42
Normalizer,SGD_SqHinge,0.5965,0.8148,0.55,0.6567,0.6901,44,24,10,36
Normalizer,SGD_Hinge,0.5702,0.7925,0.525,0.6316,0.6618,42,23,11,38
NoScaler,LinearSVC,0.6053,0.8302,0.55,0.6617,0.6496,44,25,9,36
Normalizer,LinearSVC,0.5526,0.7959,0.4875,0.6047,0.6415,39,24,10,41
