Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,LinearSVC,0.6762,0.7468,0.5322,0.6206,0.7421
StandardScaler,LinearSVC,0.675,0.7482,0.5273,0.6174,0.7419
StandardScaler,SGD_Hinge,0.6712,0.7434,0.5224,0.6123,0.7406
NoScaler,SGD_SqHinge,0.6824,0.7653,0.5249,0.621,0.7362
StandardScaler,SGD_SqHinge,0.6749,0.7647,0.5052,0.6054,0.7354
MinMaxScaler,SGD_Hinge,0.6663,0.7359,0.515,0.6042,0.7338
MinMaxScaler,LinearSVC,0.6725,0.7417,0.5249,0.613,0.7317
RobustScaler,SGD_SqHinge,0.67,0.7521,0.5052,0.6032,0.7293
NoScaler,LinearSVC,0.6725,0.7562,0.5076,0.6053,0.7279
RobustScaler,SGD_Hinge,0.6712,0.7504,0.5125,0.6076,0.7271
NoScaler,SGD_Hinge,0.6712,0.7563,0.5076,0.6039,0.7195
MinMaxScaler,SGD_SqHinge,0.6749,0.7803,0.4879,0.5993,0.7103
Normalizer,SGD_Hinge,0.659,0.7414,0.4855,0.5857,0.7014
Normalizer,LinearSVC,0.6675,0.7528,0.4977,0.5978,0.697
Normalizer,SGD_SqHinge,0.6688,0.7554,0.4978,0.5981,0.6945
