Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
StandardScaler,0.01,l2,0.554,0.5507,0.554,0.5436,0.7414
MinMaxScaler,10.0,l2,0.5551,0.5511,0.5551,0.5448,0.7414
StandardScaler,0.1,l2,0.554,0.5502,0.554,0.5438,0.7414
RobustScaler,10.0,l2,0.554,0.55,0.554,0.5438,0.7413
RobustScaler,0.1,l2,0.554,0.5502,0.554,0.5439,0.7413
RobustScaler,1.0,l2,0.554,0.55,0.554,0.5438,0.7413
StandardScaler,10.0,l2,0.5551,0.5511,0.5551,0.545,0.7413
StandardScaler,1.0,l2,0.5551,0.5511,0.5551,0.545,0.7413
MinMaxScaler,1.0,l2,0.554,0.5495,0.554,0.543,0.7412
RobustScaler,0.01,l2,0.554,0.5518,0.554,0.5449,0.7402
MinMaxScaler,0.1,l2,0.5568,0.5542,0.5568,0.544,0.7381
NoScaler,0.01,l2,0.5472,0.5448,0.5472,0.5399,0.7304
NoScaler,1.0,l2,0.5437,0.5406,0.5437,0.5372,0.7276
MinMaxScaler,0.01,l2,0.5233,0.5234,0.5233,0.4987,0.7198
NoScaler,0.1,l2,0.5381,0.5378,0.5381,0.5372,0.7198
NoScaler,10.0,l2,0.5131,0.5093,0.5131,0.5076,0.7009
Normalizer,10.0,l2,0.4131,0.4145,0.4131,0.3937,0.6087
Normalizer,1.0,l2,0.4108,0.4138,0.4108,0.3911,0.6028
Normalizer,0.1,l2,0.3926,0.392,0.3926,0.3667,0.5922
Normalizer,0.01,l2,0.3864,0.3992,0.3864,0.3604,0.5706
