Scaler,C,Penalty,ACC,Precision,Recall,F1,ROC-AUC
RobustScaler,0.01,l2,0.5395,0.5342,0.5395,0.535,0.7341
RobustScaler,0.1,l2,0.5475,0.5433,0.5475,0.5426,0.7335
StandardScaler,0.01,l2,0.5469,0.5425,0.5469,0.5417,0.7334
RobustScaler,10.0,l2,0.5469,0.5431,0.5469,0.5423,0.7333
StandardScaler,0.1,l2,0.5475,0.5437,0.5475,0.5429,0.7333
RobustScaler,1.0,l2,0.5475,0.5437,0.5475,0.5429,0.7333
StandardScaler,10.0,l2,0.5469,0.5432,0.5469,0.5424,0.7333
StandardScaler,1.0,l2,0.5469,0.5432,0.5469,0.5424,0.7333
MinMaxScaler,10.0,l2,0.5463,0.5425,0.5463,0.5416,0.7332
MinMaxScaler,1.0,l2,0.5441,0.5397,0.5441,0.5387,0.7328
MinMaxScaler,0.1,l2,0.5452,0.54,0.5452,0.5378,0.7284
NoScaler,10.0,l2,0.531,0.5298,0.531,0.5301,0.7237
NoScaler,0.01,l2,0.5276,0.5253,0.5276,0.5262,0.7217
NoScaler,1.0,l2,0.5225,0.5239,0.5225,0.523,0.7217
MinMaxScaler,0.01,l2,0.5156,0.5032,0.5156,0.4953,0.7085
NoScaler,0.1,l2,0.519,0.5119,0.519,0.5127,0.7043
Normalizer,10.0,l2,0.423,0.4157,0.423,0.4084,0.622
Normalizer,1.0,l2,0.415,0.407,0.415,0.3989,0.6182
Normalizer,0.1,l2,0.4042,0.4004,0.4042,0.3825,0.6111
Normalizer,0.01,l2,0.4144,0.4661,0.4144,0.3585,0.5886
