Fold,Scaler,C,ACC,Precision,Recall,F1,ROC-AUC
1,StandardScaler,0.01,0.3637,0.3714,0.3637,0.3527,0.5278
1,StandardScaler,0.1,0.3637,0.3714,0.3637,0.3527,0.528
1,StandardScaler,1.0,0.3637,0.3714,0.3637,0.3527,0.528
1,StandardScaler,10.0,0.3637,0.3714,0.3637,0.3527,0.528
1,MinMaxScaler,0.01,0.3615,0.3696,0.3615,0.3495,0.5309
1,MinMaxScaler,0.1,0.3615,0.3696,0.3615,0.3495,0.5284
1,MinMaxScaler,1.0,0.3631,0.3706,0.3631,0.352,0.5277
1,MinMaxScaler,10.0,0.3637,0.3714,0.3637,0.3527,0.5276
1,RobustScaler,0.01,0.3637,0.3714,0.3637,0.3527,0.5281
1,RobustScaler,0.1,0.3637,0.3714,0.3637,0.3527,0.5281
1,RobustScaler,1.0,0.3637,0.3714,0.3637,0.3527,0.5281
1,RobustScaler,10.0,0.3637,0.3714,0.3637,0.3527,0.5281
1,Normalizer,0.01,0.3428,0.3262,0.3428,0.3157,0.5278
1,Normalizer,0.1,0.3445,0.3395,0.3445,0.3369,0.5268
1,Normalizer,1.0,0.339,0.3336,0.339,0.3327,0.5268
1,Normalizer,10.0,0.339,0.3335,0.339,0.333,0.5267
1,NoScaler,0.01,0.3637,0.3714,0.3637,0.3527,0.528
1,NoScaler,0.1,0.3637,0.3714,0.3637,0.3527,0.528
1,NoScaler,1.0,0.3637,0.3714,0.3637,0.3527,0.528
1,NoScaler,10.0,0.3637,0.3714,0.3637,0.3527,0.528
2,StandardScaler,0.01,0.3428,0.3479,0.3428,0.3348,0.5252
2,StandardScaler,0.1,0.3434,0.3486,0.3434,0.3355,0.5253
2,StandardScaler,1.0,0.3434,0.3486,0.3434,0.3355,0.5253
2,StandardScaler,10.0,0.3434,0.3486,0.3434,0.3355,0.5253
2,MinMaxScaler,0.01,0.3434,0.3484,0.3434,0.3354,0.5253
2,MinMaxScaler,0.1,0.3423,0.3476,0.3423,0.3343,0.5243
2,MinMaxScaler,1.0,0.3428,0.3483,0.3428,0.3348,0.5237
2,MinMaxScaler,10.0,0.3428,0.3483,0.3428,0.3348,0.5235
2,RobustScaler,0.01,0.3428,0.3481,0.3428,0.3348,0.5252
2,RobustScaler,0.1,0.3428,0.3481,0.3428,0.3348,0.5254
2,RobustScaler,1.0,0.3428,0.3481,0.3428,0.3348,0.5254
2,RobustScaler,10.0,0.3428,0.3481,0.3428,0.3348,0.5254
2,Normalizer,0.01,0.3637,0.3613,0.3637,0.3576,0.5359
2,Normalizer,0.1,0.3834,0.383,0.3834,0.3821,0.5382
2,Normalizer,1.0,0.384,0.3836,0.384,0.3828,0.539
2,Normalizer,10.0,0.384,0.3836,0.384,0.3828,0.5391
2,NoScaler,0.01,0.3428,0.3481,0.3428,0.3348,0.5253
2,NoScaler,0.1,0.3428,0.3481,0.3428,0.3348,0.5253
2,NoScaler,1.0,0.3428,0.3481,0.3428,0.3348,0.5253
2,NoScaler,10.0,0.3428,0.3481,0.3428,0.3348,0.5253
3,StandardScaler,0.01,0.3472,0.3534,0.3472,0.3387,0.5336
3,StandardScaler,0.1,0.3472,0.3527,0.3472,0.3387,0.5326
3,StandardScaler,1.0,0.3467,0.3521,0.3467,0.3382,0.5325
3,StandardScaler,10.0,0.3467,0.3521,0.3467,0.3382,0.5325
3,MinMaxScaler,0.01,0.3505,0.3546,0.3505,0.3423,0.5345
3,MinMaxScaler,0.1,0.3472,0.3535,0.3472,0.3385,0.5332
3,MinMaxScaler,1.0,0.3472,0.3536,0.3472,0.3387,0.5331
3,MinMaxScaler,10.0,0.3472,0.3536,0.3472,0.3387,0.5331
3,RobustScaler,0.01,0.3472,0.3536,0.3472,0.3387,0.5335
3,RobustScaler,0.1,0.3472,0.3536,0.3472,0.3387,0.5325
3,RobustScaler,1.0,0.3472,0.3536,0.3472,0.3387,0.5325
3,RobustScaler,10.0,0.3472,0.3536,0.3472,0.3387,0.5325
3,Normalizer,0.01,0.3368,0.316,0.3368,0.3033,0.5133
3,Normalizer,0.1,0.3313,0.3254,0.3313,0.3201,0.5128
3,Normalizer,1.0,0.3308,0.3237,0.3308,0.3212,0.5129
3,Normalizer,10.0,0.3319,0.3253,0.3319,0.3226,0.5129
3,NoScaler,0.01,0.3472,0.3536,0.3472,0.3387,0.5325
3,NoScaler,0.1,0.3472,0.3536,0.3472,0.3387,0.5325
3,NoScaler,1.0,0.3472,0.3536,0.3472,0.3387,0.5325
3,NoScaler,10.0,0.3472,0.3536,0.3472,0.3387,0.5325
4,StandardScaler,0.01,0.3681,0.3788,0.3681,0.3575,0.5418
4,StandardScaler,0.1,0.3681,0.3788,0.3681,0.3575,0.5418
4,StandardScaler,1.0,0.3681,0.3785,0.3681,0.3574,0.5419
4,StandardScaler,10.0,0.3675,0.3778,0.3675,0.357,0.5419
4,MinMaxScaler,0.01,0.3631,0.3751,0.3631,0.3465,0.5421
4,MinMaxScaler,0.1,0.3708,0.3825,0.3708,0.3604,0.5419
4,MinMaxScaler,1.0,0.3708,0.3825,0.3708,0.3604,0.5417
4,MinMaxScaler,10.0,0.3708,0.3825,0.3708,0.3604,0.5417
4,RobustScaler,0.01,0.3681,0.3788,0.3681,0.3575,0.5418
4,RobustScaler,0.1,0.3681,0.3788,0.3681,0.3575,0.5419
4,RobustScaler,1.0,0.3681,0.3788,0.3681,0.3575,0.5419
4,RobustScaler,10.0,0.3681,0.3788,0.3681,0.3575,0.5419
4,Normalizer,0.01,0.3527,0.3629,0.3527,0.3213,0.5359
4,Normalizer,0.1,0.3577,0.3564,0.3577,0.3424,0.533
4,Normalizer,1.0,0.3582,0.3567,0.3582,0.3452,0.5339
4,Normalizer,10.0,0.3582,0.3569,0.3582,0.3455,0.534
4,NoScaler,0.01,0.3681,0.3788,0.3681,0.3575,0.542
4,NoScaler,0.1,0.3681,0.3788,0.3681,0.3575,0.542
4,NoScaler,1.0,0.3681,0.3788,0.3681,0.3575,0.542
4,NoScaler,10.0,0.3681,0.3788,0.3681,0.3575,0.542
5,StandardScaler,0.01,0.3419,0.3481,0.3419,0.3347,0.5231
5,StandardScaler,0.1,0.3419,0.3481,0.3419,0.3347,0.5234
5,StandardScaler,1.0,0.3419,0.3481,0.3419,0.3347,0.5234
5,StandardScaler,10.0,0.3419,0.3481,0.3419,0.3347,0.5234
5,MinMaxScaler,0.01,0.3447,0.3517,0.3447,0.3369,0.524
5,MinMaxScaler,0.1,0.3441,0.3503,0.3441,0.3364,0.5236
5,MinMaxScaler,1.0,0.3436,0.3495,0.3436,0.3359,0.5246
5,MinMaxScaler,10.0,0.3425,0.3482,0.3425,0.335,0.524
5,RobustScaler,0.01,0.3419,0.3481,0.3419,0.3347,0.5233
5,RobustScaler,0.1,0.3419,0.3481,0.3419,0.3347,0.5234
5,RobustScaler,1.0,0.3419,0.3481,0.3419,0.3347,0.5234
5,RobustScaler,10.0,0.3419,0.3481,0.3419,0.3347,0.5234
5,Normalizer,0.01,0.3205,0.3022,0.3205,0.2919,0.5103
5,Normalizer,0.1,0.3386,0.3301,0.3386,0.3265,0.5094
5,Normalizer,1.0,0.3375,0.331,0.3375,0.3278,0.5094
5,Normalizer,10.0,0.3375,0.331,0.3375,0.3278,0.5095
5,NoScaler,0.01,0.3419,0.3481,0.3419,0.3347,0.5234
5,NoScaler,0.1,0.3419,0.3481,0.3419,0.3347,0.5234
5,NoScaler,1.0,0.3419,0.3481,0.3419,0.3347,0.5234
5,NoScaler,10.0,0.3419,0.3481,0.3419,0.3347,0.5234
