Scaler,C,ACC,Precision,Recall,F1,ROC-AUC
MinMaxScaler,0.01,0.3526,0.3599,0.3526,0.3421,0.5314
RobustScaler,0.01,0.3527,0.36,0.3527,0.3437,0.5304
MinMaxScaler,0.1,0.3532,0.3607,0.3532,0.3438,0.5303
StandardScaler,0.01,0.3527,0.3599,0.3527,0.3437,0.5303
RobustScaler,10.0,0.3527,0.36,0.3527,0.3437,0.5303
RobustScaler,1.0,0.3527,0.36,0.3527,0.3437,0.5303
RobustScaler,0.1,0.3527,0.36,0.3527,0.3437,0.5303
StandardScaler,1.0,0.3528,0.3597,0.3528,0.3437,0.5302
StandardScaler,0.1,0.3529,0.3599,0.3529,0.3438,0.5302
StandardScaler,10.0,0.3526,0.3596,0.3526,0.3436,0.5302
NoScaler,10.0,0.3527,0.36,0.3527,0.3437,0.5302
NoScaler,1.0,0.3527,0.36,0.3527,0.3437,0.5302
NoScaler,0.1,0.3527,0.36,0.3527,0.3437,0.5302
NoScaler,0.01,0.3527,0.36,0.3527,0.3437,0.5302
MinMaxScaler,1.0,0.3535,0.3609,0.3535,0.3444,0.5302
MinMaxScaler,10.0,0.3534,0.3608,0.3534,0.3443,0.53
Normalizer,0.01,0.3433,0.3337,0.3433,0.318,0.5246
Normalizer,10.0,0.3501,0.3461,0.3501,0.3423,0.5244
Normalizer,1.0,0.3499,0.3457,0.3499,0.3419,0.5244
Normalizer,0.1,0.3511,0.3469,0.3511,0.3416,0.524
