Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
MinMaxScaler,LinearSVC,0.5429,0.5373,0.5429,0.5343,0.7257,,,,
StandardScaler,LinearSVC,0.5424,0.5367,0.5424,0.5338,0.7257,,,,
MinMaxScaler,SGD_Hinge,0.5418,0.5366,0.5418,0.5314,0.7245,,,,
RobustScaler,LinearSVC,0.5412,0.5356,0.5412,0.5327,0.7259,,,,
RobustScaler,SGD_Hinge,0.5384,0.5321,0.5384,0.5315,0.7192,,,,
StandardScaler,SGD_Hinge,0.5372,0.5304,0.5372,0.5299,0.7085,,,,
MinMaxScaler,SGD_SqHinge,0.5304,0.5237,0.5304,0.5165,0.7201,,,,
StandardScaler,SGD_SqHinge,0.4957,0.4863,0.4957,0.4884,0.6962,,,,
NoScaler,LinearSVC,0.4923,0.5742,0.4923,0.4369,0.6688,,,,
RobustScaler,SGD_SqHinge,0.4815,0.5,0.4815,0.4482,0.6698,,,,
Normalizer,SGD_SqHinge,0.4571,0.4751,0.4571,0.4363,0.6334,,,,
NoScaler,SGD_Hinge,0.4321,0.4301,0.4321,0.4255,0.6055,,,,
NoScaler,SGD_SqHinge,0.4207,0.4501,0.4207,0.3857,0.5988,,,,
Normalizer,SGD_Hinge,0.4116,0.4061,0.4116,0.4022,0.606,,,,
Normalizer,LinearSVC,0.3917,0.3836,0.3917,0.372,0.5941,,,,
