Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
StandardScaler,LinearSVC,0.5293,0.523,0.5293,0.5176,0.7328,,,,
MinMaxScaler,LinearSVC,0.5293,0.5226,0.5293,0.5172,0.7328,,,,
RobustScaler,LinearSVC,0.5293,0.523,0.5293,0.5176,0.7328,,,,
MinMaxScaler,SGD_Hinge,0.5276,0.5195,0.5276,0.5185,0.7286,,,,
StandardScaler,SGD_Hinge,0.5242,0.5127,0.5242,0.5153,0.7242,,,,
StandardScaler,SGD_SqHinge,0.5242,0.5205,0.5242,0.5208,0.7088,,,,
MinMaxScaler,SGD_SqHinge,0.5242,0.5154,0.5242,0.514,0.7255,,,,
RobustScaler,SGD_Hinge,0.5168,0.5033,0.5168,0.5008,0.7179,,,,
NoScaler,LinearSVC,0.5071,0.498,0.5071,0.487,0.6988,,,,
RobustScaler,SGD_SqHinge,0.4952,0.4914,0.4952,0.4676,0.6945,,,,
Normalizer,SGD_Hinge,0.4406,0.4387,0.4406,0.4235,0.6237,,,,
Normalizer,SGD_SqHinge,0.4383,0.4267,0.4383,0.4146,0.6327,,,,
NoScaler,SGD_Hinge,0.4349,0.4271,0.4349,0.411,0.6273,,,,
Normalizer,LinearSVC,0.4338,0.4311,0.4338,0.4076,0.6203,,,,
NoScaler,SGD_SqHinge,0.4287,0.417,0.4287,0.4014,0.6135,,,,
