Fold,Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC,TP,TN,FP,FN
1,NoScaler,LinearSVC,0.3582,0.3803,0.3582,0.3262,0.5317,,,,
1,NoScaler,SGD_Hinge,0.356,0.3787,0.356,0.2916,0.5298,,,,
1,NoScaler,SGD_SqHinge,0.3598,0.3807,0.3598,0.3175,0.5336,,,,
1,StandardScaler,LinearSVC,0.3631,0.3709,0.3631,0.3525,0.5274,,,,
1,StandardScaler,SGD_Hinge,0.3626,0.3706,0.3626,0.3523,0.5233,,,,
1,StandardScaler,SGD_SqHinge,0.3675,0.376,0.3675,0.3594,0.5207,,,,
1,MinMaxScaler,LinearSVC,0.3631,0.3709,0.3631,0.3525,0.5275,,,,
1,MinMaxScaler,SGD_Hinge,0.3626,0.3667,0.3626,0.3521,0.528,,,,
1,MinMaxScaler,SGD_SqHinge,0.3631,0.3704,0.3631,0.3527,0.5261,,,,
1,RobustScaler,LinearSVC,0.3631,0.3707,0.3631,0.3522,0.5275,,,,
1,RobustScaler,SGD_Hinge,0.3406,0.3426,0.3406,0.3378,0.5273,,,,
1,RobustScaler,SGD_SqHinge,0.3571,0.3734,0.3571,0.3347,0.5333,,,,
1,Normalizer,LinearSVC,0.3396,0.3342,0.3396,0.3332,0.5261,,,,
1,Normalizer,SGD_Hinge,0.3533,0.3534,0.3533,0.3505,0.5378,,,,
1,Normalizer,SGD_SqHinge,0.3598,0.3458,0.3598,0.3079,0.538,,,,
2,NoScaler,LinearSVC,0.3566,0.362,0.3566,0.3519,0.5361,,,,
2,NoScaler,SGD_Hinge,0.35,0.3711,0.35,0.3145,0.5187,,,,
2,NoScaler,SGD_SqHinge,0.3478,0.3631,0.3478,0.2952,0.5156,,,,
2,StandardScaler,LinearSVC,0.345,0.3499,0.345,0.3372,0.5238,,,,
2,StandardScaler,SGD_Hinge,0.3445,0.3493,0.3445,0.3367,0.5269,,,,
2,StandardScaler,SGD_SqHinge,0.3467,0.349,0.3467,0.3436,0.5309,,,,
2,MinMaxScaler,LinearSVC,0.345,0.3499,0.345,0.3372,0.5238,,,,
2,MinMaxScaler,SGD_Hinge,0.3478,0.3528,0.3478,0.3408,0.5242,,,,
2,MinMaxScaler,SGD_SqHinge,0.3434,0.3486,0.3434,0.3358,0.5233,,,,
2,RobustScaler,LinearSVC,0.3456,0.3506,0.3456,0.3379,0.5235,,,,
2,RobustScaler,SGD_Hinge,0.3412,0.3443,0.3412,0.3301,0.5194,,,,
2,RobustScaler,SGD_SqHinge,0.3417,0.3487,0.3417,0.3329,0.5183,,,,
2,Normalizer,LinearSVC,0.3801,0.3793,0.3801,0.3782,0.5419,,,,
2,Normalizer,SGD_Hinge,0.3538,0.3545,0.3538,0.3477,0.5349,,,,
2,Normalizer,SGD_SqHinge,0.3675,0.3649,0.3675,0.3503,0.5355,,,,
3,NoScaler,LinearSVC,0.3439,0.3614,0.3439,0.3224,0.5358,,,,
3,NoScaler,SGD_Hinge,0.3582,0.3677,0.3582,0.3457,0.5324,,,,
3,NoScaler,SGD_SqHinge,0.3478,0.3556,0.3478,0.3362,0.5356,,,,
3,StandardScaler,LinearSVC,0.3483,0.3541,0.3483,0.3392,0.5331,,,,
3,StandardScaler,SGD_Hinge,0.3461,0.35,0.3461,0.3379,0.53,,,,
3,StandardScaler,SGD_SqHinge,0.3489,0.3528,0.3489,0.3255,0.5338,,,,
