Scaler,Model,ACC,Precision,Recall,F1,ROC-AUC
NoScaler,SGD_Hinge,0.3552,0.3782,0.3552,0.3188,0.5294
StandardScaler,LinearSVC,0.3537,0.3606,0.3537,0.3447,0.5299
MinMaxScaler,LinearSVC,0.3536,0.3606,0.3536,0.3447,0.53
MinMaxScaler,SGD_Hinge,0.3536,0.3586,0.3536,0.3458,0.5304
RobustScaler,SGD_SqHinge,0.3536,0.3664,0.3536,0.3341,0.532
RobustScaler,LinearSVC,0.3531,0.3601,0.3531,0.3441,0.5299
NoScaler,SGD_SqHinge,0.3528,0.3709,0.3528,0.318,0.5315
StandardScaler,SGD_SqHinge,0.3526,0.3568,0.3526,0.3436,0.5305
MinMaxScaler,SGD_SqHinge,0.3525,0.3603,0.3525,0.3432,0.5295
RobustScaler,SGD_Hinge,0.3522,0.3602,0.3522,0.3426,0.53
StandardScaler,SGD_Hinge,0.3515,0.3592,0.3515,0.3416,0.529
Normalizer,SGD_SqHinge,0.3512,0.3388,0.3512,0.3211,0.5274
Normalizer,SGD_Hinge,0.3481,0.3416,0.3481,0.3186,0.5247
Normalizer,LinearSVC,0.3478,0.344,0.3478,0.3394,0.5259
NoScaler,LinearSVC,0.3451,0.3547,0.3451,0.3285,0.5306
